"assay_long"	"cometh_count"	"TPR"	"FPR"	"SNR"
"184"	"chr12_47207632_47207829_GA_converted.15.188.methylotype_NeuNpos_C"	4	0.000242394861228942	0	4125.5
"214"	"chr12_54996280_54996513_CT_converted.0.234.methylotype_NeuNpos_C"	16	5.82515799726798e-05	0	17166.9163389045
"215"	"chr12_54996280_54996513_CT_converted.0.234.methylotype_NeuNpos_C"	17	1.60124790387049e-05	0	62451.2917445718
"216"	"chr12_54996280_54996513_CT_converted.0.234.methylotype_NeuNpos_C"	18	4.54739752439679e-06	0	219906
"217"	"chr12_54996280_54996513_CT_converted.0.234.methylotype_NeuNpos_C"	19	4.54739752439679e-06	0	219906
"219"	"chr12_54996280_54996513_CT_converted.0.234.methylotype_NeuNpos_C"	26	1.0898180215251e-05	0	91758.4385878102
"220"	"chr12_54996280_54996513_CT_converted.0.234.methylotype_NeuNpos_C"	3	0.120166031935924	3.36783498196698e-05	3568.04987712733
"221"	"chr12_54996280_54996513_CT_converted.0.234.methylotype_NeuNpos_C"	4	0.0525629101253838	1.18341420962264e-05	4441.63249840853
"244"	"chr12_54996280_54996513_CT_converted.0.234.methylotype_NeuNpos_G"	27	6.44697311325423e-06	0	155111.551178043
"245"	"chr12_54996280_54996513_CT_converted.0.234.methylotype_NeuNpos_G"	28	1.21019956190776e-05	0	82631
"246"	"chr12_54996280_54996513_CT_converted.0.234.methylotype_NeuNpos_G"	3	1.06733779316138e-05	0	93691.0513622935
"261"	"chr15_69759135_69759314_CT_converted.0.180.methylotype_NeuNpos_C"	17	0.000145828531304042	0	6857.36865795535
"262"	"chr15_69759135_69759314_CT_converted.0.180.methylotype_NeuNpos_C"	18	4.19373556742257e-05	0	23845.0895132282
"263"	"chr15_69759135_69759314_CT_converted.0.180.methylotype_NeuNpos_C"	19	3.44342175054354e-05	0	29040.880625272
"265"	"chr15_69759135_69759314_CT_converted.0.180.methylotype_NeuNpos_C"	20	1.26143968110805e-05	0	79274.5
"266"	"chr15_69759135_69759314_CT_converted.0.180.methylotype_NeuNpos_C"	3	0.181083082379644	1.89415483192128e-05	9560.09927635998
"267"	"chr15_69759135_69759314_CT_converted.0.180.methylotype_NeuNpos_C"	4	0.0626338190800874	1.19510770185952e-05	5240.85142976089
"291"	"chr15_69759135_69759314_CT_converted.0.180.methylotype_NeuNpos_G"	28	5.76628700874474e-05	0	17342.1822133285
"293"	"chr15_69759135_69759314_CT_converted.0.180.methylotype_NeuNpos_G"	30	1.54938262697184e-05	0	64541.8363799801
"295"	"chr15_69759135_69759314_CT_converted.0.180.methylotype_NeuNpos_G"	32	6.30719840554024e-06	0	158549
"296"	"chr15_69759135_69759314_CT_converted.0.180.methylotype_NeuNpos_G"	6	0.000157403601773063	0	6353.09477505954
"304"	"chr17_61139320_61139546_CT_converted.0.227.methylotype_NeuNpos_C"	13	6.79875377099583e-05	0	14708.5779788952
"305"	"chr17_61139320_61139546_CT_converted.0.227.methylotype_NeuNpos_C"	14	3.70364530604307e-05	0	27000.4257256586
"306"	"chr17_61139320_61139546_CT_converted.0.227.methylotype_NeuNpos_C"	15	6.712057318927e-05	0	14898.5616851058
"307"	"chr17_61139320_61139546_CT_converted.0.227.methylotype_NeuNpos_C"	17	1.66239984040962e-05	0	60154
"309"	"chr17_61139320_61139546_CT_converted.0.227.methylotype_NeuNpos_C"	27	1.08902804247209e-05	0	91825
"326"	"chr17_61139320_61139546_CT_converted.0.227.methylotype_NeuNpos_G"	19	0.00012040481739281	0	8305.31553183283
"328"	"chr17_61139320_61139546_CT_converted.0.227.methylotype_NeuNpos_G"	20	2.19293436547444e-05	0	45601
"329"	"chr17_61139320_61139546_CT_converted.0.227.methylotype_NeuNpos_G"	21	1.64098120397327e-05	0	60939.1501608138
"416"	"chr2_230416158_230416265_CT_converted.7.108.methylotype_NeuNpos_C"	12	0.000259319900053998	0	3856.24088159748
"417"	"chr2_230416158_230416265_CT_converted.7.108.methylotype_NeuNpos_C"	13	0.000311898328536718	0	3206.17300096328
"421"	"chr2_230416158_230416265_CT_converted.7.108.methylotype_NeuNpos_C"	17	0.000176740480639025	0	5658.01335599173
"422"	"chr2_230416158_230416265_CT_converted.7.108.methylotype_NeuNpos_C"	18	0.000116717525434178	0	8567.69363709603
"424"	"chr2_230416158_230416265_CT_converted.7.108.methylotype_NeuNpos_C"	3	0.23363406725714	4.98705897537094e-05	4684.80658462158
"425"	"chr2_230416158_230416265_CT_converted.7.108.methylotype_NeuNpos_C"	4	0.223092627359253	3.56761211355672e-05	6253.27586795419
"450"	"chr2_230416158_230416265_CT_converted.7.108.methylotype_NeuNpos_G"	29	9.91684452812212e-05	0	10083.8527534056
"451"	"chr2_230416158_230416265_CT_converted.7.108.methylotype_NeuNpos_G"	8	0.000171992443003739	0	5814.20894160018
"477"	"chr21_35049052_35049274_GA_converted.0.223.methylotype_NeuNpos_G"	15	0.000244716962942492	0	4086.3534263254
"478"	"chr21_35049052_35049274_GA_converted.0.223.methylotype_NeuNpos_G"	16	0.000310684130714164	0	3218.70318159257
"492"	"chr3_189092603_189092760_CT_converted.0.158.methylotype_NeuNpos_C"	14	4.58762786889432e-05	0	21797.75754656
"494"	"chr3_189092603_189092760_CT_converted.0.158.methylotype_NeuNpos_C"	16	1.22872992807827e-05	0	81384.8492779856
"496"	"chr3_189092603_189092760_CT_converted.0.158.methylotype_NeuNpos_C"	26	5.97470608589093e-06	0	167372.249885474
"514"	"chr3_189092603_189092760_CT_converted.0.158.methylotype_NeuNpos_G"	2	4.38694620287871e-06	0	227949
"522"	"chr3_189092603_189092760_CT_converted.0.158.methylotype_NeuNpos_G"	3	5.13374963140962e-05	0	19478.9397963964
"523"	"chr3_189092603_189092760_CT_converted.0.158.methylotype_NeuNpos_G"	30	8.47759371979857e-06	0	117958
"541"	"chr5_117190431_117190566_GA_converted.0.136.methylotype_NeuNpos_C"	19	0.000333056157024981	0	3002.49666282252
"543"	"chr5_117190431_117190566_GA_converted.0.136.methylotype_NeuNpos_C"	20	7.44398741144241e-05	0	13433.6605468041
"544"	"chr5_117190431_117190566_GA_converted.0.136.methylotype_NeuNpos_C"	21	1.97850937339451e-05	0	50543.1014604854
"545"	"chr5_117190431_117190566_GA_converted.0.136.methylotype_NeuNpos_C"	22	9.68757568418503e-06	0	103225
"546"	"chr5_117190431_117190566_GA_converted.0.136.methylotype_NeuNpos_C"	28	3.41258493070746e-06	0	293033
"566"	"chr5_117190431_117190566_GA_converted.0.136.methylotype_NeuNpos_G"	20	0.000239793723774008	0	4170.25093176518
"567"	"chr5_117190431_117190566_GA_converted.0.136.methylotype_NeuNpos_G"	21	0.000106252268165939	0	9411.56379305007
"568"	"chr5_117190431_117190566_GA_converted.0.136.methylotype_NeuNpos_G"	22	3.51231284625744e-05	0	28471.2679015923
"569"	"chr5_117190431_117190566_GA_converted.0.136.methylotype_NeuNpos_G"	23	1.54507900438177e-05	0	64721.6095205519
"570"	"chr5_117190431_117190566_GA_converted.0.136.methylotype_NeuNpos_G"	24	7.84162423747311e-06	0	127524.600735299
"586"	"chr6_22025988_22026170_CT_converted.0.183.methylotype_NeuNpos_C"	17	0.000298948821093098	0	3345.05416794597
"587"	"chr6_22025988_22026170_CT_converted.0.183.methylotype_NeuNpos_C"	18	0.000196337395430036	0	5093.27322902349
"588"	"chr6_22025988_22026170_CT_converted.0.183.methylotype_NeuNpos_C"	19	0.000118035882908404	0	8472
"590"	"chr6_22025988_22026170_CT_converted.0.183.methylotype_NeuNpos_C"	22	0.000184297825285662	0	5426
"603"	"chr6_22025988_22026170_CT_converted.0.183.methylotype_NeuNpos_G"	14	0.000105248905728714	0	9501.2864321608
"604"	"chr6_22025988_22026170_CT_converted.0.183.methylotype_NeuNpos_G"	15	0.000145304858581233	0	6882.08233202986
"605"	"chr6_22025988_22026170_CT_converted.0.183.methylotype_NeuNpos_G"	16	0.000166222058092281	0	6016.04872107186
"606"	"chr6_22025988_22026170_CT_converted.0.183.methylotype_NeuNpos_G"	17	9.46790380609733e-05	0	10562
"607"	"chr6_22025988_22026170_CT_converted.0.183.methylotype_NeuNpos_G"	18	0.000124054087582186	0	8061
"616"	"chr6_25963186_25963277_CT_converted.0.92.methylotype_NeuNpos_C"	1	0.000146801857790532	0	6811.90289449113
"620"	"chr6_25963186_25963277_CT_converted.0.92.methylotype_NeuNpos_C"	13	0.000208811860513677	0	4789
"621"	"chr6_25963186_25963277_CT_converted.0.92.methylotype_NeuNpos_C"	16	0.000208811860513677	0	4789
"622"	"chr6_25963186_25963277_CT_converted.0.92.methylotype_NeuNpos_C"	17	0.000208811860513677	0	4789
"624"	"chr6_25963186_25963277_CT_converted.0.92.methylotype_NeuNpos_C"	27	0.000125281884239539	0	7982
"639"	"chr6_25963186_25963277_CT_converted.0.92.methylotype_NeuNpos_G"	19	0.000193599559196773	0	5165.30101694915
"651"	"chr6_63261659_63261799_CT_converted.0.141.methylotype_NeuNpos_C"	15	0.000228290237209173	0	4380.38880779531
"652"	"chr6_63261659_63261799_CT_converted.0.141.methylotype_NeuNpos_C"	16	7.62655111882709e-05	0	13112.0867666038
"653"	"chr6_63261659_63261799_CT_converted.0.141.methylotype_NeuNpos_C"	17	3.1201248049922e-05	0	32050
"655"	"chr6_63261659_63261799_CT_converted.0.141.methylotype_NeuNpos_C"	19	6.2402496099844e-05	0	16025
"668"	"chr6_63261659_63261799_CT_converted.0.141.methylotype_NeuNpos_G"	13	0.000222004529866369	0	4504.41259285082
"670"	"chr6_63261659_63261799_CT_converted.0.141.methylotype_NeuNpos_G"	15	0.00012132977432662	0	8242
"672"	"chr6_63261659_63261799_CT_converted.0.141.methylotype_NeuNpos_G"	17	0.00012132977432662	0	8242
"681"	"chr7_3106531_3106658_GA_converted.0.128.methylotype_NeuNpos_C"	1	5.16769159216578e-05	0	19351
"692"	"chr7_3106531_3106658_GA_converted.0.128.methylotype_NeuNpos_C"	2	0.000319445596855967	0	3130.42348945221
"696"	"chr7_3106531_3106658_GA_converted.0.128.methylotype_NeuNpos_C"	23	0.000103353831843316	0	9675.5
"697"	"chr7_3106531_3106658_GA_converted.0.128.methylotype_NeuNpos_C"	24	0.00016134236850597	0	6198
"699"	"chr7_3106531_3106658_GA_converted.0.128.methylotype_NeuNpos_C"	4	0.00030232333730027	0	3307.71686013373
"712"	"chr7_3106531_3106658_GA_converted.0.128.methylotype_NeuNpos_G"	16	0.000129424467633137	0	7726.51430048429
"713"	"chr7_3106531_3106658_GA_converted.0.128.methylotype_NeuNpos_G"	17	5.16769159216578e-05	0	19351
"757"	"chr8_25845815_25845982_GA_converted.0.168.methylotype_NeuNpos_G"	9	0.000334488898254389	0	2989.63584507211
"775"	"chr8_29499416_29499584_GA_converted.0.169.methylotype_NeuNpos_G"	3	0.285059339183426	5.75539568345324e-05	4952.90601831203
"813"	"chr9_131050873_131051048_GA_converted.0.176.methylotype_NeuNpos_G"	20	0.000230390052319265	0	4340.46518039
